CustomerKey,GeographyKey,CustomerAlternateKey,MaritalStatus,Gender,SalaryYear,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,Age,BikeBuyer
11028,17,AW00011028,M,F,30000,2,0,Partial College,Clerical,1,2,1-2 Miles,Pacific,70,1
11029,32,AW00011029,M,M,30000,2,0,Partial College,Clerical,1,2,1-2 Miles,Pacific,70,1
11030,28,AW00011030,M,F,10000,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,64,1
11031,8,AW00011031,M,F,20000,4,0,High School,Skilled Manual,1,2,1-2 Miles,Pacific,69,1
11032,35,AW00011032,M,F,20000,4,0,High School,Skilled Manual,1,2,1-2 Miles,Pacific,69,1
11033,9,AW00011033,M,M,20000,4,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,63,1
11034,12,AW00011034,M,F,20000,4,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,69,1
11035,33,AW00011035,M,F,10000,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,68,1
11036,343,AW00011036,M,F,60000,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,North America,38,1
11037,49,AW00011037,S,F,40000,0,0,Partial High School,Clerical,0,2,5-10 Miles,North America,39,1
11038,6,AW00011038,M,F,10000,2,1,Partial High School,Clerical,1,2,5-10 Miles,Pacific,68,1
11039,19,AW00011039,M,M,30000,3,0,Partial College,Clerical,1,2,5-10 Miles,Pacific,68,1
11040,642,AW00011040,M,M,30000,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,North America,39,1
11041,325,AW00011041,M,F,60000,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,North America,39,1
11042,338,AW00011042,M,F,70000,0,0,Partial College,Skilled Manual,1,2,0-1 Miles,North America,39,1
11043,325,AW00011043,M,M,60000,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,40,0
11044,25,AW00011044,M,M,20000,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,67,1
11045,8,AW00011045,S,M,30000,3,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,66,0
11046,6,AW00011046,M,F,30000,3,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,66,1
11047,34,AW00011047,M,F,30000,3,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,66,1
11048,39,AW00011048,M,M,30000,3,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,66,1
11049,307,AW00011049,S,F,40000,0,0,Partial High School,Clerical,1,2,5-10 Miles,North America,36,0
11050,31,AW00011050,M,M,30000,3,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,65,1
11051,21,AW00011051,S,M,30000,3,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,65,0
11052,8,AW00011052,S,F,40000,2,0,Partial College,Clerical,0,2,5-10 Miles,Pacific,65,1
11053,359,AW00011053,M,F,60000,0,0,Partial College,Skilled Manual,0,2,1-2 Miles,North America,36,1
11054,34,AW00011054,M,F,40000,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,64,1
11055,22,AW00011055,M,M,40000,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,64,1
11056,10,AW00011056,M,F,40000,3,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,63,1
11057,5,AW00011057,M,M,70000,2,0,Graduate Degree,Management,1,2,1-2 Miles,Pacific,52,1
11058,29,AW00011058,M,M,80000,2,0,Partial College,Skilled Manual,1,2,1-2 Miles,Pacific,57,1
11059,27,AW00011059,S,F,80000,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,62,0
11060,40,AW00011060,M,M,80000,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,62,1
11061,23,AW00011061,M,M,80000,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,46,1
11062,547,AW00011062,M,M,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,41,1
11063,634,AW00011063,S,F,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,41,1
11064,315,AW00011064,M,M,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,41,1
11065,331,AW00011065,M,F,60000,0,0,Partial College,Skilled Manual,0,2,1-2 Miles,North America,43,0
11066,543,AW00011066,M,F,70000,0,0,Partial College,Professional,1,2,5-10 Miles,North America,43,0
11067,632,AW00011067,S,M,60000,0,0,Partial College,Professional,1,2,5-10 Miles,North America,40,0
11068,40,AW00011068,S,F,80000,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,55,0
11069,23,AW00011069,S,F,80000,2,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,55,1
11070,39,AW00011070,M,M,80000,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,61,1
11071,24,AW00011071,S,F,80000,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,61,0
11072,17,AW00011072,S,F,80000,2,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,61,1
11073,16,AW00011073,S,F,70000,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,60,0
11074,28,AW00011074,S,M,70000,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,60,0
11075,32,AW00011075,S,F,80000,2,0,High School,Professional,1,2,5-10 Miles,Pacific,59,1
11076,19,AW00011076,S,M,80000,2,0,High School,Professional,1,2,5-10 Miles,Pacific,59,1
11077,36,AW00011077,S,F,80000,2,0,High School,Professional,0,2,1-2 Miles,Pacific,59,1
11078,49,AW00011078,S,F,40000,0,0,High School,Professional,0,2,1-2 Miles,North America,37,0
11079,34,AW00011079,S,M,160000,0,0,Graduate Degree,Management,1,2,0-1 Miles,Pacific,52,0
11080,30,AW00011080,M,M,170000,0,0,Graduate Degree,Management,1,2,0-1 Miles,Pacific,57,1
11081,311,AW00011081,M,F,120000,2,2,Bachelors,Management,1,3,2-5 Miles,North America,50,0
11082,322,AW00011082,S,F,130000,0,1,Graduate Degree,Management,0,3,1-2 Miles,North America,50,1
11083,336,AW00011083,M,F,130000,0,1,Graduate Degree,Management,1,3,1-2 Miles,North America,45,1
11084,543,AW00011084,S,M,80000,2,0,Partial High School,Skilled Manual,0,2,1-2 Miles,North America,59,1
11085,345,AW00011085,S,F,60000,2,0,High School,Professional,0,2,5-10 Miles,North America,59,0
11086,369,AW00011086,M,M,70000,2,1,Partial College,Professional,1,0,0-1 Miles,North America,59,0
11087,307,AW00011087,M,F,70000,3,2,Partial College,Professional,0,0,0-1 Miles,North America,59,0
11088,359,AW00011088,M,M,80000,2,1,Bachelors,Management,1,0,2-5 Miles,North America,59,1
11089,337,AW00011089,S,F,80000,2,1,Bachelors,Management,1,1,2-5 Miles,North America,59,1
11090,338,AW00011090,S,M,90000,2,0,Partial College,Professional,1,1,2-5 Miles,North America,53,1
11091,50,AW00011091,M,M,90000,2,0,Partial College,Professional,1,1,5-10 Miles,North America,59,0
11092,22,AW00011092,M,F,90000,2,2,Bachelors,Professional,1,0,1-2 Miles,Pacific,49,1
11093,19,AW00011093,M,F,100000,0,0,Graduate Degree,Management,1,0,0-1 Miles,Pacific,43,1
11094,33,AW00011094,S,M,70000,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,54,0
11095,13,AW00011095,S,M,70000,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,54,1
11096,12,AW00011096,M,M,60000,1,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,54,1
11097,40,AW00011097,M,M,60000,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,49,1
11098,14,AW00011098,S,F,60000,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,55,0
11099,13,AW00011099,M,M,60000,1,0,Bachelors,Professional,1,1,0-1 Miles,Pacific,55,1
11100,28,AW00011100,S,F,60000,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,56,1
11101,33,AW00011101,S,F,70000,0,0,Bachelors,Professional,0,1,0-1 Miles,Pacific,51,1
11102,18,AW00011102,S,F,80000,5,5,Bachelors,Professional,1,4,1-2 Miles,Pacific,51,0
11103,3,AW00011103,S,F,70000,0,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,41,1
11104,23,AW00011104,M,M,70000,0,0,Bachelors,Professional,0,1,0-1 Miles,Pacific,47,1
11105,8,AW00011105,S,F,70000,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,52,1
11106,40,AW00011106,S,M,70000,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,52,1
11107,17,AW00011107,M,F,90000,1,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,46,1
11108,13,AW00011108,S,F,70000,0,0,Bachelors,Professional,0,2,0-1 Miles,Pacific,53,1
11109,38,AW00011109,S,M,70000,0,0,Bachelors,Professional,0,2,0-1 Miles,Pacific,42,1
11110,3,AW00011110,M,M,60000,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,54,1
11111,34,AW00011111,M,F,60000,1,0,Partial College,Skilled Manual,1,1,0-1 Miles,Pacific,54,1
11112,25,AW00011112,M,F,60000,1,0,Partial College,Skilled Manual,1,1,0-1 Miles,Pacific,54,1
11113,30,AW00011113,M,M,70000,5,4,Bachelors,Professional,1,2,5-10 Miles,Pacific,49,0
11114,14,AW00011114,S,F,70000,5,4,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,54,0
11115,17,AW00011115,M,M,70000,5,4,Partial College,Skilled Manual,1,2,0-1 Miles,Pacific,54,0
11116,18,AW00011116,M,M,70000,5,4,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,43,0
11117,8,AW00011117,M,F,70000,5,4,Partial College,Skilled Manual,1,3,10+ Miles,Pacific,55,1
11118,6,AW00011118,S,M,80000,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,59,0
11119,13,AW00011119,S,M,30000,2,0,Partial College,Clerical,0,2,0-1 Miles,Pacific,81,0
11120,18,AW00011120,S,F,40000,2,0,Bachelors,Management,1,1,5-10 Miles,Pacific,80,1
11121,10,AW00011121,M,M,70000,5,4,Partial College,Skilled Manual,1,3,10+ Miles,Pacific,56,0
11122,12,AW00011122,M,M,70000,5,4,Partial College,Skilled Manual,1,3,5-10 Miles,Pacific,56,0
11123,39,AW00011123,M,M,70000,5,4,Partial College,Skilled Manual,1,3,10+ Miles,Pacific,56,0
11124,40,AW00011124,S,M,80000,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,54,1
11125,37,AW00011125,S,F,70000,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,60,0
11126,11,AW00011126,M,M,10000,2,1,High School,Skilled Manual,0,2,0-1 Miles,Pacific,67,1
11127,361,AW00011127,M,F,40000,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,41,0
11128,635,AW00011128,M,F,40000,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,41,0
11129,638,AW00011129,S,F,40000,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,41,1
11130,543,AW00011130,M,F,30000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,37,0
11131,50,AW00011131,M,F,30000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,36,0
11132,51,AW00011132,S,F,30000,0,0,High School,Skilled Manual,0,2,5-10 Miles,North America,36,1
11133,542,AW00011133,S,F,30000,0,0,Partial High School,Clerical,0,2,0-1 Miles,North America,36,0
11134,30,AW00011134,S,M,10000,5,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,65,1
11135,302,AW00011135,S,M,30000,0,0,Partial High School,Clerical,0,2,5-10 Miles,North America,37,1
11136,53,AW00011136,S,F,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,38,1
11137,641,AW00011137,M,F,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,38,0
11138,325,AW00011138,M,F,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,38,0
11139,28,AW00011139,S,F,30000,2,0,Partial College,Clerical,0,2,5-10 Miles,Pacific,72,0
11140,301,AW00011140,S,M,30000,0,0,Partial High School,Clerical,0,2,5-10 Miles,North America,39,0
11141,314,AW00011141,M,F,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,39,0
11142,51,AW00011142,S,M,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,39,0
11143,334,AW00011143,M,M,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,39,0
11144,607,AW00011144,S,M,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,37,1
11145,536,AW00011145,S,F,40000,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,37,1
11146,8,AW00011146,S,F,40000,2,0,Bachelors,Management,1,2,5-10 Miles,Pacific,77,0
11147,40,AW00011147,M,M,60000,2,0,Graduate Degree,Management,1,1,0-1 Miles,Pacific,77,1
11148,22,AW00011148,M,M,40000,2,0,Bachelors,Management,1,2,5-10 Miles,Pacific,75,0
11149,25,AW00011149,M,M,40000,2,0,Bachelors,Management,1,2,0-1 Miles,Pacific,75,0
11150,39,AW00011150,S,M,40000,2,0,Bachelors,Management,1,2,5-10 Miles,Pacific,75,0
11151,18,AW00011151,S,F,60000,2,0,Graduate Degree,Management,0,1,0-1 Miles,Pacific,74,1
11152,633,AW00011152,S,M,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,41,1
11153,635,AW00011153,M,F,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,40,0
11154,553,AW00011154,S,F,40000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,40,1
11155,301,AW00011155,S,M,40000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,41,1
11156,334,AW00011156,S,F,40000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,40,1
11157,642,AW00011157,M,F,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,41,0
11158,361,AW00011158,S,M,40000,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,41,1
11159,385,AW00011159,S,F,40000,0,0,High School,Skilled Manual,0,2,1-2 Miles,North America,41,0
11160,311,AW00011160,S,M,40000,0,0,Partial College,Skilled Manual,0,1,5-10 Miles,North America,43,1
11161,311,AW00011161,S,F,40000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,42,0
11162,331,AW00011162,S,M,40000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,42,1
11163,372,AW00011163,M,M,40000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,42,0
11164,374,AW00011164,S,M,40000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,42,0
11165,348,AW00011165,M,F,60000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,43,0
11166,631,AW00011166,S,F,70000,0,0,Partial College,Skilled Manual,0,2,0-1 Miles,North America,44,0
11167,618,AW00011167,S,F,80000,0,0,Bachelors,Management,0,1,0-1 Miles,North America,44,1
11168,348,AW00011168,S,M,80000,0,0,Bachelors,Management,0,1,0-1 Miles,North America,48,1
11169,312,AW00011169,M,M,90000,4,4,Bachelors,Management,1,1,0-1 Miles,North America,48,0
11170,612,AW00011170,M,F,90000,4,4,Bachelors,Management,1,1,0-1 Miles,North America,48,0
11171,385,AW00011171,S,M,100000,1,0,Bachelors,Management,1,2,1-2 Miles,North America,43,1
11172,626,AW00011172,M,F,100000,1,0,Bachelors,Management,1,2,1-2 Miles,North America,49,0
11173,552,AW00011173,S,F,110000,0,0,Graduate Degree,Management,0,4,0-1 Miles,North America,49,0
11174,338,AW00011174,M,M,110000,0,1,Graduate Degree,Management,1,0,2-5 Miles,North America,49,0
11175,300,AW00011175,S,M,70000,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,53,1
11176,50,AW00011176,M,M,90000,4,4,Bachelors,Management,1,1,1-2 Miles,North America,43,0
11177,359,AW00011177,M,M,110000,2,4,Graduate Degree,Management,1,2,5-10 Miles,North America,74,0
11178,334,AW00011178,M,M,100000,2,3,Graduate Degree,Management,1,3,1-2 Miles,North America,67,0
11179,300,AW00011179,M,F,120000,2,4,Graduate Degree,Management,1,3,5-10 Miles,North America,62,0
11180,307,AW00011180,M,F,160000,1,3,Bachelors,Management,1,4,0-1 Miles,North America,74,0
11181,338,AW00011181,M,M,170000,2,3,Graduate Degree,Management,1,2,0-1 Miles,North America,62,0
11182,638,AW00011182,S,F,70000,4,0,Bachelors,Management,1,2,10+ Miles,North America,72,0
11183,368,AW00011183,S,F,70000,4,0,Bachelors,Management,1,2,10+ Miles,North America,72,0
11184,311,AW00011184,S,F,70000,4,0,Bachelors,Management,1,2,10+ Miles,North America,66,0
11185,53,AW00011185,S,F,70000,4,0,Bachelors,Management,1,2,10+ Miles,North America,72,0
11186,352,AW00011186,S,F,70000,4,0,Bachelors,Management,1,2,10+ Miles,North America,72,0
11187,612,AW00011187,M,F,60000,4,0,Graduate Degree,Management,1,2,10+ Miles,North America,72,0
11188,361,AW00011188,M,F,60000,4,0,Graduate Degree,Management,0,2,1-2 Miles,North America,72,0
11189,609,AW00011189,S,M,60000,4,0,Graduate Degree,Management,1,2,10+ Miles,North America,72,1
11190,300,AW00011190,M,M,70000,5,0,Bachelors,Management,1,2,10+ Miles,North America,72,0
11191,310,AW00011191,S,F,70000,5,0,Bachelors,Management,1,3,10+ Miles,North America,71,1
11192,637,AW00011192,M,M,60000,4,0,Bachelors,Management,1,2,2-5 Miles,North America,71,0
11193,553,AW00011193,M,M,60000,4,0,Bachelors,Management,1,2,2-5 Miles,North America,71,0
11194,352,AW00011194,M,F,60000,4,0,Bachelors,Management,1,2,2-5 Miles,North America,71,0
11195,635,AW00011195,M,F,60000,5,0,Bachelors,Management,1,3,10+ Miles,North America,70,0
11196,536,AW00011196,M,M,60000,5,0,Bachelors,Management,1,3,10+ Miles,North America,70,0
11197,637,AW00011197,M,F,70000,3,1,Bachelors,Management,0,1,1-2 Miles,North America,70,0
11198,368,AW00011198,S,F,70000,4,1,Bachelors,Management,1,1,10+ Miles,North America,70,0
11199,302,AW00011199,M,F,70000,4,1,Bachelors,Management,1,1,10+ Miles,North America,64,0
11200,69,AW00011200,M,M,70000,4,1,Bachelors,Management,1,1,1-2 Miles,North America,69,0
11201,369,AW00011201,M,F,70000,4,1,Bachelors,Management,1,1,10+ Miles,North America,69,0
11202,334,AW00011202,M,F,80000,5,0,Bachelors,Management,0,2,1-2 Miles,North America,63,0
11203,60,AW00011203,M,M,40000,2,1,High School,Professional,1,2,10+ Miles,North America,62,0
11204,536,AW00011204,M,F,40000,2,1,High School,Professional,1,2,2-5 Miles,North America,68,0
11205,612,AW00011205,M,F,40000,2,1,High School,Professional,1,2,10+ Miles,North America,68,0
11206,626,AW00011206,M,M,60000,2,1,Partial College,Professional,1,1,10+ Miles,North America,68,0
11207,635,AW00011207,S,F,60000,2,1,Partial College,Professional,1,1,10+ Miles,North America,68,0
11208,325,AW00011208,M,F,60000,2,1,Bachelors,Management,1,0,10+ Miles,North America,68,0
11209,336,AW00011209,M,F,60000,2,1,Bachelors,Management,1,0,10+ Miles,North America,69,0
11210,383,AW00011210,M,M,70000,4,1,Partial College,Professional,1,2,10+ Miles,North America,68,0
11211,50,AW00011211,M,F,40000,2,1,High School,Professional,1,2,2-5 Miles,North America,61,0
11212,53,AW00011212,M,F,40000,2,1,High School,Professional,1,2,2-5 Miles,North America,67,0
11213,614,AW00011213,S,F,60000,2,1,Partial College,Professional,1,2,10+ Miles,North America,67,0
11214,545,AW00011214,S,M,60000,2,1,Partial College,Professional,1,2,10+ Miles,North America,67,0
11215,62,AW00011215,M,F,40000,2,1,Partial High School,Skilled Manual,1,2,10+ Miles,North America,61,0
11216,547,AW00011216,S,F,60000,2,1,Partial College,Professional,1,2,10+ Miles,North America,66,1
11217,547,AW00011217,S,F,60000,2,1,Partial College,Professional,1,2,10+ Miles,North America,66,1
11218,642,AW00011218,S,F,60000,2,1,Partial College,Professional,0,2,2-5 Miles,North America,60,0
11219,553,AW00011219,M,M,60000,2,1,High School,Professional,1,2,10+ Miles,North America,66,0
11220,310,AW00011220,M,F,60000,2,1,Partial College,Professional,1,1,10+ Miles,North America,61,0
11221,334,AW00011221,M,M,70000,4,2,Partial College,Professional,1,1,1-2 Miles,North America,66,0
11222,369,AW00011222,M,F,80000,3,1,Bachelors,Management,1,1,1-2 Miles,North America,66,0
11223,52,AW00011223,S,F,70000,2,1,High School,Professional,1,2,2-5 Miles,North America,65,0
11224,612,AW00011224,S,F,70000,2,1,High School,Professional,1,2,10+ Miles,North America,65,1
11225,635,AW00011225,M,F,60000,2,1,Partial College,Professional,1,1,10+ Miles,North America,60,0
11226,552,AW00011226,M,F,60000,2,1,Partial College,Professional,1,1,2-5 Miles,North America,59,0
11227,310,AW00011227,S,M,60000,2,1,Partial College,Professional,1,2,10+ Miles,North America,59,1
11228,316,AW00011228,M,F,60000,2,1,Partial College,Professional,1,2,10+ Miles,North America,65,0
11229,355,AW00011229,S,M,70000,4,2,Partial College,Professional,1,1,10+ Miles,North America,65,0
11230,369,AW00011230,M,F,70000,4,2,Partial College,Professional,0,2,2-5 Miles,North America,65,0
11231,611,AW00011231,M,M,60000,2,1,High School,Professional,1,2,10+ Miles,North America,58,0
11232,616,AW00011232,M,F,60000,3,1,High School,Professional,0,2,2-5 Miles,North America,64,0
11233,299,AW00011233,M,M,70000,4,2,Partial College,Professional,1,2,10+ Miles,North America,58,0
11234,337,AW00011234,S,F,70000,4,2,Partial College,Professional,1,2,10+ Miles,North America,64,0
11235,607,AW00011235,M,M,70000,4,2,Partial College,Professional,1,2,10+ Miles,North America,64,0
11236,609,AW00011236,S,M,70000,5,2,Partial College,Professional,1,2,10+ Miles,North America,64,0
11237,161,AW00011237,S,M,130000,2,3,Bachelors,Management,0,4,0-1 Miles,Europe,58,1
11238,232,AW00011238,S,F,130000,2,3,Bachelors,Management,0,4,0-1 Miles,Europe,58,1
11239,249,AW00011239,M,F,130000,2,4,Partial College,Professional,0,2,5-10 Miles,Europe,52,1
11240,273,AW00011240,M,F,160000,2,3,Partial College,Professional,1,4,5-10 Miles,Europe,58,1
11241,211,AW00011241,S,F,100000,2,3,Partial College,Professional,1,4,5-10 Miles,Europe,48,1
11242,209,AW00011242,M,M,110000,2,4,Partial College,Professional,1,3,5-10 Miles,Europe,59,1
11243,237,AW00011243,M,F,150000,2,3,Partial College,Professional,1,3,0-1 Miles,Europe,59,1
11244,267,AW00011244,S,F,170000,2,3,Bachelors,Management,0,3,0-1 Miles,Europe,53,1
11245,132,AW00011245,M,M,120000,3,4,High School,Professional,0,4,5-10 Miles,Europe,60,1
11246,147,AW00011246,M,F,120000,3,4,High School,Professional,0,4,5-10 Miles,Europe,60,1
11247,242,AW00011247,S,F,130000,3,4,Partial College,Professional,0,3,0-1 Miles,Europe,60,1
11248,223,AW00011248,M,M,110000,3,4,Partial College,Professional,1,4,10+ Miles,Europe,56,0
11249,178,AW00011249,M,F,130000,3,4,Partial College,Professional,1,3,0-1 Miles,Europe,56,1
11250,276,AW00011250,M,F,170000,3,4,High School,Professional,1,2,5-10 Miles,Europe,56,1
11251,50,AW00011251,S,M,30000,4,0,High School,Professional,0,2,5-10 Miles,North America,84,1
11252,335,AW00011252,S,M,90000,3,0,Graduate Degree,Management,1,1,2-5 Miles,North America,84,1
11253,69,AW00011253,M,M,60000,2,0,Graduate Degree,Management,1,2,1-2 Miles,North America,72,0
11254,612,AW00011254,M,M,70000,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,83,0
11255,612,AW00011255,M,M,70000,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,83,0
11256,626,AW00011256,M,F,70000,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,83,0
11257,345,AW00011257,S,F,120000,1,2,Graduate Degree,Management,1,4,2-5 Miles,North America,84,1
11258,352,AW00011258,M,M,120000,1,2,Graduate Degree,Management,1,4,2-5 Miles,North America,83,0
11259,548,AW00011259,M,F,100000,4,1,Partial College,Professional,1,4,2-5 Miles,North America,51,1
11260,302,AW00011260,M,F,110000,2,2,Bachelors,Management,1,3,2-5 Miles,North America,46,0
11261,359,AW00011261,M,F,130000,1,2,Graduate Degree,Management,1,1,0-1 Miles,North America,51,1
11262,60,AW00011262,M,F,80000,4,3,Bachelors,Management,1,0,0-1 Miles,North America,47,0
11263,612,AW00011263,M,F,90000,5,5,Partial College,Professional,1,3,2-5 Miles,North America,52,1
